year_month,hs_code,item_name,category,country_name,country_code,import_value_yen,quantity_2,quantity_2_unit,calc_unit_name,source,source_url,fetched_at
2026-02,270900900,原油,エネルギー,サウジアラビア,SA,385428917000,5123106786,KG,円/KL,customs_trade_statistics,https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040432026&fileKind=1,2026-04-14T06:51:51.146257+09:00
2026-02,271012181,ナフサ,エネルギー,サウジアラビア,SA,0,0,KG,円/KL,customs_trade_statistics,https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040432026&fileKind=1,2026-04-14T06:51:51.146257+09:00
