hs_code,item_name,category,priority,unit_name,country_name,country_code,enabled
271012181,ナフサ,エネルギー,1,円/KL,サウジアラビア,SA,1
270900900,原油,エネルギー,1,円/KL,サウジアラビア,SA,1
